customer_tweet_id,customer_text,historical_resolution,golden_intent,notes
1434979,@116316 Parcel has been handed to a resident when it has just been dropped in front of the door !! Really ?,"1. @453169 Your door doesn't really count as a resident, does it ;) We can forward your complaint here: https://t.co/dDmBEPionb ^AN",,
1597042,@AmazonHelp I'm not able to make payment for product each time showing error or transaction failed my Amazon email id is :- __email__,"1. @490607 Please reach out to us from the link here: https://t.co/beaaDm0muc and we will assist you accordingly. (2/2)^HR
2. @490607 As this is a social media platform, we can't view your account details. (1/2)^HR",,
40389,".@115821 STILL hasn’t shipped pre-ordered The Final Dossier, so filling the gap with some pre-Return #TwinPeaks crit. theory from @79409. https://t.co/hzVoUztm7V","1. @124854 I'm sorry for the wait! According to the order, what is the delivery date: https://t.co/Y5jpI9gRhE ? ^DD",,
2200687,"Absolutely loving amazon prime now! Needed an item that couldn’t wait until tomorrow, ordered at 12 delivered now! Awesome! 😁 #happymum",1. @643618 That's great to hear! Get anything interesting? ^MI,,
1318309,@115821 Hey why does my order keep getting declined ?,"1. @427887 Hi, sorry to hear that, have you checked that the correct payment card is being used for the order? ^JJ",,
1968352,@AmazonHelp No. The lady I talked to today basically canceled the original order and reordered and it’s not going to ship/deliver until Nov13-Dec20.,"1. @583218 I understand. If it's not received within that delivery estimate, please let us know. ^DC",,
888300,@AmazonHelp The item was sold by @115830 I was told that is not in stock but I don't mind waiting. Called the insurance and they say that because the item is broken down on first use they aren't responsible for it... you're almost losing a customer that spends around 20K a year...,"1. @330917 I'm very sorry for the experience you've had. If we cannot offer a replacement, a refund will be given to you upon return. If you have any further questions, don't hesitate to speak with us in real time here: https://t.co/JzP7hlA23B. ^AX",,
2230335,That’s lovely of @115830 to hang up on me - all im trying to do is return something that you’ve already replaced for me 👌,1. @650857 I'm sorry to hear that Susie- did the associate call you back? ^MA,,
1412353,Wanna be messed around by @115830 ? Buy a faulty product with lithium battery and try to return #missonImpossible @117245 @59031,"1. @448208 Oh boy, Lain! Contact us for fastest resolution on a nonreturnable item: https://t.co/GIzxEuDIJX Thanks for the patience! ^BE",,
2697203,"Confused how my Christmas tree was ordered Wednesday, hasn’t been shipped but it gonna be delivered tomorrow? @115821",1. @757895 We'll ship to meet the delivery date provided to you at check-out. Please keep an eye out on your e-mail for any updates. ^CO,,
2420716,"Exceptional service by @115850  returns team. Plz express my sincere thanks to Mr Sanjay,Mubashshir &amp; team for request 408-8553318-8642713","1. @695367 Thank you for the feedback! I'll be certain to pass this on internally. Also, please do not provide your order details ^PB (1/2)
2. @695367 as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2)",,
485385,"Hi @3375 why do your drivers leave packages outside of the gate of a CLOSED BUSINESS on a PUBLIC ROAD????? Horrible service!!
@115821 you need to quit shipping with this awful company. Read their Google reviews!!",1. @230478 I am sorry you are experiencing this delivery issue! Was your package retrieved safely? ^DJ,,
421549,@115850 worst delivery guys from your end.,1. @215438 Sorry to know about that. Kindly elaborate the issue so that we can try to make things right. ^AK,,
1265680,@AmazonHelp I m unable to login. How can I fill the details? I need to talk to some higher authority.,"1. @416378 I understand you're unable to log-in. However, you can still share the details by selecting the skip sign-in option at the page.^AP",,
1421951,@AmazonHelp I am not contacting anyone. I will message to your India head as well as Jeff. The delivery boy asks me to collect parcel from his home.,1. @450492 Sorry for the hassle. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and we'll assist you further. ^NK,,
176490,"Here I was planning on watching Haikyu!! tonight, and though both collection 1 and 2 were coming because I ordered both, @115821 sends collection 2 first. @10066 #Haikyu https://t.co/TvzC2pboDF",1. @157526 Oh no! I'm sorry for the wait for season 1! Did we miss the delivery date in the confirmation e-mail? You can check for this information here: https://t.co/KvigqtCNwe ^BH,,
1397857,"@AmazonHelp It was Amazon. Ordered it same day, Friday. I live in Austin. Have already spoken with several ""help"" staff, nothing has been solved.",1. @445079 We'd like to look into this a little further with you! Please provide us with more info here: https://t.co/795kTEk9nM ^TK,,
1614189,@AmazonHelp didnt get my order even though it says its delivered and customer services keep telling me to wait different amounts of time,"1. @495153 Hey, sorry to hear that. Have you checked these places: https://t.co/yK8QEx966P ^RS",,
2124815,"@AmazonHelp Well, there are a lot of books in that Justice League sale. Usually titles that are for sale at Comixology are for sale at Kindle Store as well. Just for example, Justice League (2016-) vol. 1 The Extinction Machines is $5.99 at CMX and $10.24 at Kindle Store",1. @625777 There may be price differences between our Kindle Store and Comixology. I'm sorry for any inconvenience this causes. ^WT,,
1323530,Really @115821 @115830 you didn't have time to put all the items together? I ordered it last week you lazy non tax paying shits https://t.co/burUXK3wnw,1. @311269 Sorry to hear of the delay in your order. Please keep us posted. ^MC,,
2322742,@115821 how is this 2 day shipping? I mean I'm not mad but what's the week hold for? https://t.co/vah272bq6W,"1. @673043 I'm sorry for any trouble or disappointment, Nelson! Two-day Shipping guarantees that once your order leaves our faclity, it'll only be in transit for two days, but it doesn't factor in processing time. We have more info here: https://t.co/p33U6uQKFP ^BL",,
1751509,"@AmazonHelp hey guys, ordered a meat grinder over a month ago and keeps getting delayed. Any chance of it ever being delivered?",1. @527727 I'm sorry for the wait! Was this item sold and shipped by Amazon or a third-party seller? ^WT,,
444804,"@AmazonHelp  Hey, the Amzon Music App on Android is deleting downloaded songs/  albums sporadically. App Version is: 7.3.2 OTA, Android Version is 7.0.  Subscription Type is Family. It applies only to some albums. Any Idea?","1. @220361 Hi there, I'm sorry for the app trouble! Are you noticing a time frame or pattern at all? If you've tried any troubleshooting, what have you tried? You can restart your device and clear the cache and data on your app. ^DW",,
282806,@AmazonHelp  @115850 cud u plz solve prblm I am unable 2 use my gift card e1 I d'nt use Plz call/email so i cn share my details. Plz help.,"1. @183374 Sorry for the trouble in using your gift card balance. You can reach out to our email/chat/phone (1/2) ^KA
2. @183374 support team using this link here: https://t.co/00q4Sq1ybb and we'll be glad to help. (2/2) ^KA",,
294314,@115821 @AmazonHelp how am I supposed to know where to collect my parcel if this is what has been posted through my door?! https://t.co/yzqFgGntIE,"1. @186087 Oh no, Jessie! I'm sorry to see this. Please ring us here: https://t.co/JzP7hlA23B so we can research further. ^HC",,
172295,"@115833 @5503 Can you do echo to echo calls internationally? In markets where echo calling is enabled, after all it's over the internet right, so it should work fine.","1. @156262 I'm sorry, currently Echo-to-Echo calling on different marketplaces are not currently available. You can learn more here: https://t.co/vjkjMBKDue ^JM",,
2715164,"@AmazonHelp Hey I canceled my Amazon Prime subscription, will I get refunded?","1. @197335 Depending on a number of factors, you may qualify for a refund. Learn more here: https://t.co/xLQfJoaLwe ^BH",,
158862,@115850 what's the best email address to contact you on regarding an order please,1. @152516 II understand you want to get in touch with us. You may contact us from here: https://t.co/rS49hgaADF and we'll assist you accordingly. ^VH,,
410495,"@AmazonHelp I haven't ordered her, I just noticed that when buying from Warehouse Deals with 2-Day Shipping the estimate is the 16th. Is this accurate?","1. @178543 Yes! Our Prime 2-day shipping refers to transit time, as some items may need additional processing.  ^HC",,
2161801,@AmazonHelp It says amazon was the carrier &amp; it says Shipment departed from Amazon facility which was 1:50AM on Wednesday 11/8,1. @634817 Is there any delivery attempt on the tracking? ^PK,,
2611679,@AmazonHelp Products are collected back and refund not initiated...absolutely worst service,1. @738486 Could you please confirm if you've reported this our support team here: https://t.co/rS49hgaADF? ^SM,,
2602999,"Well, after years of buying on @115821, I finally had a customer service person that was less than helpful. @AmazonHelp, if you are going to put my things into the hands of the USPS, be sure that they deliver. Because today, they didn't. And I have no way of finding the package.","1. @198091 I'm sorry to hear you haven't received your order! When you contacted us, what information/options were we able to provide? ^BH",,
2958638,my favorite thing is when @115830 leave your parcel outside your front door... in south-west England... in winter... well guess a first for everything,"1. @816582 Hello!  I'm sorry to hear about the experience you had receiving your parcel. Was there damage to the contents?  Please let us know, we're here to help in any way we can! ^AZ",,
464330,"@AmazonHelp UPS, AMZL US, and the items that have been returned to Amazon instead of being delivered have been USPS.",1. @225408 Thank you for the information. We'd like to take a closer look into this. Please provide your details here: https://t.co/Vzg7jlnYsi. ^DG,,
162096,@115830 said they couldn't deliver a parcel today because no one home. Husband and son veg to differ - now I've no parcel :-(,"1. @153421 I'm very sorry you never received your parcel. We're unable to access your order and account via Twitter. At your convenience, give us a shout here: https://t.co/JzP7hlA23B We'd be happy to assist with your order in real-time. ^SK",,
2523304,fuck @115821 yall fucking charged me $107 for prime and i never signed up for that shit refund me or yall finna catch this lawsuit,1. @718596 We're here to help! Please reach out to us using this link for assistance: https://t.co/hApLpMlfHN   ^SE,,
2309773,"I love @115821 prime, I ordered late last night and it's already here 🤗 https://t.co/dgl62ny2S2","1. @640895 Wohoo, Izzy! Glad to hear we got your package out already 😁^NM",,
1341706,So @2150 is legit the worst company on Earth. Why the hell does @115821 use them? Legit NEVER deliver packages. D- BBB grade.,"1. @432940 I'm sorry you didn't get your package. We'd like to help, please contact us for options: https://t.co/EKXRLsnxJu ^AF",,
1226501,@115821 @115817 @118706 @115821 still no package,1. @407744 We appreciate the update. What is the current status of the order shown here: https://t.co/auqDWYojkj? Thanks. ^SE,,
255074,@115833 I have been unable to activate the call function on my Amazon Alexa App. It won't accept my UK mobile number. Can you advise? Thanks,1. @176638 Do you receive an error message when you try? ^TR,,
425084,@115850 Need return assistance for my new mobile. Please help,1. @216151 I get your concern. Please reach out to our support team here : https://t.co/rS49hgaADF and we'll be glad to help you. ^SD,,
2732855,@115830 love the safe place delivery in November in Scotland #NOTACCEPTABLE https://t.co/GSDFk5k9m7,"1. @744828 Terribly sorry for the poor delivery experience with us, Scott! Let's get this sorted in real time with you here:  https://t.co/JzP7hlA23B ^JZ",,
1103616,@AmazonHelp this is the second time I got the wrong item labeled as the one I ordered https://t.co/cyfGOotGb2,"1. @380431 Oh goodness, I'm sorry for the mix-up! Have you had the chance to report this to us? Reach us here: https://t.co/CYqkdUakWJ ^GM",,
2838480,"Why is @115821 letting me choose 1-day delivery, but saying it’s not going to be delivered till Thursday?",1. @789962 Black Friday and Cyber Monday weeks are very busy and we are seeing a little later delivery dates than normal. The most up-to-date delivery date will be seen at check out. Learn more here: https://t.co/fzTXYDNw4K ^JF,,
1708,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",1. @116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP,,
1167718,"It'd be cool if 2 @115833 could 'network' timers. IE set a timer on the kitchen Echo, have it go off on the Echo in the bedroom.",1. @394656 We value your feedback! Let our Developers know of any suggestions you have here: https://t.co/upr1TDHCji ^KP,,
95442,@AmazonHelp No that's why I reached out. What other troubleshooting should I do? I'm using a Tap and have an Amazon Music Unlimited account. thanks.,1. @136752 Let's take a deeper look into this in real-time via phone or chat here: https://t.co/hApLpMlfHN ^ML,,
2849104,"Look, I know mail theft is rampant, especially around the holidays, but you really should train your AMZL delivery people to not lie about it, @115821 Don't know who it was handed to, but it wasn't a human or resident. https://t.co/ZLvV93GA72",1. @180626 We'd like to make sure this is escalated for you. Please send us your details at this link here: https://t.co/GMCNHfnzZe ^VS,,
352077,"@115850 what gift card I will get when I purchase a product
I purchased a Bosch car washer of 8199rs",1. @199738 Is there any promotion for the car washer you have ordered? Could you share the links? ^MJ,,
833646,@AmazonHelp We’re not sure exactly what to mark as “return” as we received completely incorrect items (another customer received ours instead likely).,1. @303548 Please each out here so we can help you out Tyler  https://t.co/hApLpMlfHN ^KM,,
2372388,"@115821 2 Day Delivery My Ass, 9th package to be delivered with bullshit excuse. Todays BS, bad weather.. Its a sunny 50 degree fall day. Dunno why people buy into this fake ass company",1. @684461 I'm sorry you've been experiencing delivery issues! Has this been happening with a specific carrier? Have you had a chance to contact us via phone/chat to look into this further: https://t.co/hApLpMlfHN? Please keep us posted; we'd like to know this is resolved. ^MV,,
613986,So LIVID. Ordered a Nintendo Switch (which is now sold out everywhere) last week on @115821 as a Christmas present. Was on its way to being delivered only to get a message saying the carrier lost it.............HOW. DOES. THAT. HAPPEN. So unacceptable.,1. @266006 I'm sorry to hear your order was lost! Please reach us here: https://t.co/hApLpMlfHN for available options. ^EZ,,
2742907,@AmazonHelp Still no packages and now the date I'd delivery has been changed... Again.,1. @768307 We appreciate the update. Please let us know if the order has not arrived by the new delivery date. ^GG,,
387974,"@115821 Would love to know why you ""guaranteed"" delivery for today on five separate orders, and then shipped then USPS which doesn’t deliver","1. @207827 Hi Logan! Deliveries can be made as late as 9:00pm, so keep a look out and please let us know when your package arrives. ^JD",,
2734296,"@AmazonHelp no i dont think you understand. when i go on that page, it doesnt show up, so even when i go on ""my order isnt showing up"" and input the order number, it says it cant find the order. so im kinda screwed",1. @766358 I'm sorry for the frustration. You can also contact us by clicking here: https://t.co/zYVX1Qi29G. All you have to do is select an issue and it will give you the option to contact us ^AY,,
2700819,@AmazonHelp ah you life saver!! Thank you so so much! Looking at the reviews on the item other customers have said they have never received the item.. so I am not expecting it to arrive now sadly:( it says no tracking information as it said it should been received to me by the 27th October,"1. @758695 That isn't at all the experience we strive for, I'm truly sorry to hear you've had to endure this! Was the item to be shipped by Amazon or the seller? If it's being shipped by a seller, we suggest filing an A-to-z Claim. Learn how: https://t.co/tv2BXHztgU ^JE",,
327063,@AmazonHelp Amazon delivery agent didn't call me and even not visited to my place and he mentioned he attempted delivery... It's disgusting,1. @193943 I'm terribly sorry for this situation. Please report this to our support team here: https://t.co/vlvfJr4nN9 ? ^MP,,
2402317,@AmazonHelp Heres my order number :) Order # 305-2740745-7663556 thanks @AmazonHelp,1. @691149 You can find our answer here: https://t.co/KPoGIe39Pm ^SM,,
1548398,"Hey @115821, I’ll be canceling my Prime subscription now that #amzl_us has delivered my 1 day order late for the fourth time in a row.","1. @479339 I'm so sorry for the troubling delivery experiences! We'd like to look into this further for you. When you have a moment, please provide your order details at the following link: https://t.co/yWAT7XXmlA ^ST",,
1553275,"@115830 hi, please could you tell me if the new COD ww2 game comes with pre order bonus, weapon unlock and 2xp please","1. @480565 Hi, Sam! You can find info on our pre-order bonuses here: https://t.co/rxPTB9jpmd ^BG",,
2534449,@AmazonHelp This is the first. I had another months ago saying someone attempted to hack my account. But this makes me nervous,"1. @182175 Are you able to log in this account? If so, please change the password. Keep us posted ^BD",,
2669278,"hey @AmazonHelp if i order this from prime account, can you get it delivered by tomorrow? its a birthday gift https://t.co/inGimROJpQ","1. @751802 Sure we can, if the shipping address supports One-Day Delivery. Could you try placing the order and help us with the delivery-speed options available during checkout? ^YP",,
2266797,@AmazonHelp what is the point of guaranteed delivery if you can’t fulfil it? I needed the item today 😡,"1. @215458 I'm sorry it hasn't arrived! Deliveries can be made until 21:00. If it still isn't there, please reach us via phone or chat here: https://t.co/oGDklGgbCZ ^SJ",,
836171,@AmazonHelp Its not helpful. Its not accepting my return request. It looks to me I got lemon instead of mobile. Looks like Amazon is no more caring cust,"1. @215880 We understand your concern to return the order. Please share your details from the link provided by ""^HR"", we'll assist. ^SV",,
312832,@115821 #amzl_us is a joke. I am frustrated with all the delivery delays. I am not paying for prime to get delayed deliveries.,1. @190707 I'm sorry for the delays! We'd like to escalate this further. Please send us the order details: https://t.co/2aqitn4JrU ^BH,,
1119605,@AmazonHelp Already connected twice. They assured me twice that delivery would be done within 24 hours. Not yet done.,1. @384154 I'm terribly sorry for this situation. Click here: https://t.co/GIJyeYqKE0 and do the needful so we can fix this for you.^MP,,
136158,"@AmazonHelp Hi, I bought The Witcher 3 yesterday and it has now dropped to £16.99. Can you refund me the difference rather than me returning it and ordering it again? 😊",1. @146679 Hi Robert. I'm afraid the only option is to return it and to then place a new order. ^DC,,
399869,@115850 @121294  Thank you so much for lightening fast delivery for an awesome LG refrigerator. Amazon Prime membership does work ☺ https://t.co/zZ9nOM4kcQ,1. @210545 You are most welcome. I'm glad your new fridge is here. Did you fill it up with all those yummy goodies? ^HA,,
1993270,"@115821 ...you cannot or will not honor estimated shipping dates provided by any rep, then do not let them give that estimate in the first place.",1. @589898 I'm so sorry for the poor experience. Can you tell us a bit more about what's going on? ^DG,,
2317013,"@AmazonHelp Order# 408-9829894-5445923, made on 23rd Sep, cancelled but no refund yet...this is how amazon works, pathetic","1. @671787 That's odd! Kindly report it to our support team here: https://t.co/2t6DQoUmNZ we'll look into it and reach out to you soon. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AP",,
393556,@115851 @115821 @115850 @118702 @4030 @14281 @146956 @144148 @144775 @121927 @387684 @387685 @387686 I have faced the similar fraud.i havent got any refund and lodged the #Police complaint https://t.co/jsU9scI8Y4,"1. @209214 I've checked and see that you haven't submitted the details. Kindly submit your details using the link (1/2) ^GD
2. @209214 provided earlier and we'll get back to you.(2/2)^GD",,
780826,Awful service from @AmazonHelp - their delivery driver smashed our wall down 2 weeks ago and still no response from them,"1. @306425 Really sorry to hear about this, pls fill out this secure form + a specialist will look into this https://t.co/tkLCr7DNil ^KM",,
2523317,"@115821 was supposed to get a delivery by 8pm and it still says ""out for delivery"", is it not coming orrrr?????",1. @143020 Oh no! Can you please let us know who the carrier is? We are here to help! ^BA,,
1937591,@AmazonHelp I've been home the last two days. No one has attempted anything. Not even a note on my door-nothing. Where is my package???,"1. @576395 Oh no! That's not what we want to hear. So we can relay the correct information, could you tell us who the carrier for this delivery was? You can find it here: https://t.co/Y5jpI9gRhE ^ZW",,
2111059,"Completely agree with below, plus I still don't have my prime enabled even after 8 days. Also, how prime music working in India? Was told US marketplace selection is the culprit for prime not getting enabled! 

https://t.co/9pavXGr8kz",1. @509289 I get you're upset with us. Could you confirm sharing your details in the link provided here : https://t.co/u4moHa2zE6 ? ^AS,,
553422,"@116090 shipping logic:

One-day shipping = Sunday 
Two-day shipping = Wednesday

(Ordered on Friday with trial Prime membership)","1. @249069 Thanks for reaching out today! Two-Day Shipping is in business days, while One-Day Shipping includes weekends. You can learn more here: https://t.co/TpOoUFQXyJ ^JM",,
1694526,"Alexa, help me exaggerate the size of that fish I caught… or bought - @115833 Ideal Christmas present for Irish anglers… #fishirl https://t.co/GcnrJuHVOw",1. @514164 Glad to hear you're hooked on Alexa! She really knows how to reel people in! ^TH,,
2922603,@AmazonHelp @115821 Well done AMZL. 1ST time I have had a package delivered on time. Let's see if tomorrow's shipment keeps the ball rolling. https://t.co/cY2KwfaxjI,1. @359187 Glad to hear we got your package to you today! Let us know how it goes tomorrow! ^LS,,
255082,@AmazonHelp Your chat folks have been very helpful &amp; have issued a refund for the price difference. Appreciated!,1. @176639 That's what we like to hear! I'm glad we could get this resolved. Have a good day! ^WT,,
1912050,"Problem in getting refund @115850 @115821  even u have messaged for giving refund, so irritating",1. @190898 Apologies for the trouble with the refund. We'd like to help. Kindly report this to our support team here: https://t.co/rS49hgaADF ^AK,,
197955,@AmazonHelp @115851 Didn't receive any updates. Initiate refund asap.,1. @162537 That's odd. Sorry to know. Please check your inbox/ spam folders for a correspondence sent to your registered email. ^SV,,
1521183,"@115830 trolling the hell out of me today..  Delivery by 8pm today.    Despatch date..   December,  that'll teach me for preordering https://t.co/AsK7CiMznx",1. @472834 I'm sorry to hear this. We're happy to look into the delivery here: https://t.co/JzP7hlA23B ^LI,,
2545366,@723484 @115833 @ tHi. Could you implement a quicker way of muting tweets without having to muffle them first? Thanks. Twitterrific Hi. The new Kindle Fire HD 10 has handsfree Alexa.,"1. @725315 Hi, thanks for your great suggestion. We will pass this to our Alexa team. ^ES",,
1929402,@AmazonHelp my son received a Kindle Fire 7 kids edition for his birthday Sunday &amp; the screen has cracked. How do I active the 2yr warranty?,1. @574149 Oh no! Please use this link to reach out directly and we can review options with you: https://t.co/CYqkdUakWJ ^GL,,
2986464,@115821 really love how i got a replacement h115i and i can still use the ok but not working properly working h115i while i wait for my new one. Thanks for being the best amazon https://t.co/hwBIljV1WM,"1. @207371 oh my!!!! We're in love! Stu wishes he knew how to HI5, alas, he prefers sitting for treats :P ^AS https://t.co/5ToTuXej0t",,
465056,"@AmazonHelp Don't want to say I told you so......
And this after the Amazon rep last evening assured me that this order would arrive by noon today. https://t.co/IXyaDbTk7C","1. @225616 We aim to deliver items on the original date given, I'm sorry this wasn't the case. Please let us know if it doesn't arrive by 9 PM Monday. ^LI",,
1187072,"What's happening @115821? 
1. Paid extra to upgrade delivery for 1 item &amp; was delayed
2. #PrimeNow not available @amazonhelp
Disappointed",1. @218349 I'm so sorry for the poor delivery experience. Please reach us here for available options: https://t.co/tZ1aD6gBvK ^SE,,
530011,@AmazonHelp A follow-up on this issue. Is there a way to change delivery options ie; leave package unattended etc?,"1. @242737 Some orders are eligible for unattended delivery, and you can set specific preferences for this. More info on that here: https://t.co/LJXXsC19MD ^TI",,
2226544,@115850 : policy changed to insist on cash payment only for COD items?Rude attitude from delivery person @123288 @115821 @,"1. @649949 I'm sorry for the trouble you've had to go through. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll have this checked. Further, I've flagged this to the relevant team internally, we'll ensure such instances aren't repeated in the future.^EM",,
2856596,"Absolutely disgusted with service my partners had  @115830 tonight.sent 2 wrong blinds,now want us to spend £50 to return them but they don’t understand none of the couriers will collect due to size. Last person just hung up on her #crapservice","1. @793980 This is not the experience we want you to have! You should have received an e-mail with a survey at the bottom. If you fill out the survey, their direct manager would see this. Without revealing account info, can you tell us more about the issue, Marc? ^JP",,
354519,"Hi @115821 , I have a $419.00 birthday present I purchased for someone that has not been delivered. Either @115817 agents or urs lied about 1/x","1. @200265 I'm sorry your order hasn't been delivered. To confirm, what's the latest tracking scan show: https://t.co/ErDEARsXkH? ^CL",,
270907,@AmazonHelp Not really sure why it takes a month for a book to be delivered. Order cancelled.,"1. @180629 I'm sorry for any frustration! Was the book shipped/sold by Amazon, or a third-party seller? Is it currently in stock? ^MV",,
2858115,@AmazonHelp No. Helpfully the app is just saying that my delivery was expected by today. https://t.co/RjF5px2uha,"1. @794308 I'm sorry for the delay! We'd love to take a closer look into this, but are unable to access your Amazon account through Twitter. If you have a moment, please contact us by phone or chat: https://t.co/JzP7hlA23B ^LR",,
400327,"@AmazonHelp Guess sum issue wth ur delivery dept. Scan code error is common reply, need checkpoint. Product not reaching me thrice &amp; status delivered",1. @210667 support team here: https://t.co/9XTxzdnzRF? 2/2 ^SH,,
3726,@115830 Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?,1. @116610 Is everything in your basket eligible? You can find more info here: https://t.co/d1x19RiAXm Let us know if this helps! ^EB,,
2601415,@AmazonHelp I have a prime membership. In the past several months I no longer get Sat or Sun delivery options - why?,"1. @446053 I am sorry to hear this, can I ask is the address you are selecting a commercial address please? This service is a Monday to Friday service with deliveries from 9a.m to 5p.m. Thanks. ^GA",,
1687367,@AmazonHelp my package was supposed to arrive yesterday and it didn’t sooooooo,1. @512424 I'm sorry for the wait! Will you tell us what the most up to date tracking says here: https://t.co/Y5jpI9gRhE? ^DW,,
475120,"@115830 Hello! Can you please let me know, is there some kind of training course that delivery drivers go on where they’re told to ring the bell at least twice before hammering the letterbox a few times then pressing their face to the door?",1. @228068 Sorry to hear that. Please reach out to us here: https://t.co/JzP7hlA23B ^RS,,
1364728,"@AmazonHelp says my pre-order of Mario Odyssey will arrive by 8 tonight, but tracking says at noon today it was in a different state... https://t.co/uc21Itpf6O","1. @437747 Oh no! I'm so sorry to hear this, Kevin! Let's take a closer look with you! Which carrier has your delivery at the moment?^FR",,
2398923,"@AmazonHelp Customer service replying with the same old template 'nutritional products cannot be returned', when it was clearly Amazon's mistake. #HELP https://t.co/8o4hozrrH2","1. @690339 We're so sorry for the hassle. Please fill this form: https://t.co/beaaDm0muc so we could take a closer look at it. 1/2 ^RS
2. @690339 Also, don’t provide your order details as its personal information. Our Twitter page is visible to public. 2/2 ^RS",,
729257,@1016 I'd like you to explain how I've been charged for 9 months after I cancelled my membership. @115821,"1. @294667 Hi Pier, please use this link to get in touch and we'll look into this for you: https://t.co/Dk19xu293o ^RL",,
993937,"@AmazonHelp Arrived and past
lookup my order __email__","1. @355459 Sorry to hear that, Samson. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. 1/2^NK
2. @355459 Please don't provide your order/account details, as we consider it to be personal information. Our Twitter page is public. 2/2 ^NK",,
1396684,@444785 @444786 We’re all just numbers to them Carole... this is my delivery this week from @115821..  broken to bits!! https://t.co/6L82Adq57g,"1. @135274 Oh my, that's not good! We'd like the chance to take a closer look at this with you here: https://t.co/hApLpMlfHN ^KP",,
1635828,@120474 I have pre ordered Gary Barlows book but not received the email with priority codes,"1. @500370 Thanks for letting us know, Ali! When did you place your pre-order for the book? Please let us know! We're here to help. ^FD",,
1113865,"It's 1030pm and my @115821 order was supposed to be here by 8pm, it's not and I'm pissed. I really wanted to use my dang pregnancy pillow. https://t.co/iOUqDPJyq7",1. @382880 I'm sorry you haven't received your order! Please reach us by phone or chat to explore options: https://t.co/hApLpMlfHN ^TN,,
542107,@AmazonHelp No. I don't want generic customer service. The @115817 system is broken. My daughter had nothing to open from us on our birthday. Heartbreaking,"1. @245814 Could you fill some details out here: https://t.co/R55eEQwSEs so that we can investigate further for you, Niki?^PJ",,
